year,month,day,latitude,longitude,nkill,nkillus,nkillter
2008,11,22,34.565494,71.477429,0,0,0
2008,11,25,33.908578,71.070055,0,0,0
2008,11,27,32.304722,69.570278,5,0,0
2008,11,30,32.874079,70.027089,1,0,0
2008,12,4,33.908578,71.070055,0,0,0
2008,12,5,32.969967,70.276797,1,0,0
2008,12,10,33.697271,71.144852,0,0,0
2008,12,10,33.697271,71.144852,0,0,0
2008,12,13,34.803802,71.468157,0,0,0
2008,12,13,34.735879,71.525833,0,0,0
2008,12,16,34.1167788,71.1665154,0,0,0
2008,12,17,32.301964,69.590665,1,0,0
2008,12,17,32.320237,69.859741,1,0,0
2008,12,19,34.1167788,71.1665154,3,0,0
2008,12,20,33.697271,71.144852,0,0,0
2008,12,20,32.969967,70.276797,2,0,0
2008,12,22,34.565494,71.477429,0,0,0
2008,12,27,33.908578,71.070055,0,0,0
2008,12,28,32.969967,70.276797,2,0,0
2008,12,29,34.119626,71.104793,0,0,0
2008,12,31,33.694214,71.496152,4,0,0
2008,12,31,32.969967,70.276797,1,0,0
2008,12,31,32.301964,69.590665,0,0,0
2009,1,1,34.856902,71.429936,4,0,0
2009,1,1,33.695975,70.336069,1,0,0
2009,1,1,32.974638,70.14558,3,0,0
2009,1,5,32.998617,70.067081,3,0,0
2009,1,5,34.565494,71.477429,0,0,0
2009,1,6,32.998617,70.067081,2,0,0
2009,1,6,34.565494,71.477429,0,0,0
2009,1,6,34.565494,71.477429,0,0,0
2009,1,8,32.974638,70.14558,2,0,0
2009,1,10,34.735879,71.525833,0,0,0
2009,1,11,32.301964,69.590665,0,0,0
2009,1,12,32.969967,70.276797,2,0,0
2009,1,13,32.998617,70.067081,1,0,0
2009,1,14,33.697271,71.144852,1,0,0
2009,1,15,32.998617,70.067081,1,0,0
2009,1,19,32.969967,70.276797,6,0,0
2009,1,23,33.908578,71.070055,0,0,0
2009,1,25,32.998617,70.067081,1,0,0
2009,1,26,34.735879,71.525833,0,0,0
2009,1,26,32.906013,69.748012,1,0,0
2009,1,27,34.856902,71.429936,0,0,0
2009,1,27,32.998617,70.067081,2,0,0
2009,1,29,32.935769,70.105122,1,0,0
2009,1,29,32.935769,70.105122,1,0,0
2009,2,1,34.856902,71.429936,0,0,0
2009,2,3,34.038328,71.139756,0,0,0
2009,2,6,32.998617,70.067081,2,0,0
2009,2,6,34.856902,71.429936,0,0,0
2009,2,9,34.856902,71.429936,1,0,0
2009,2,9,34.856902,71.429936,0,0,0
2009,2,9,32.998617,70.067081,1,0,0
2009,2,9,32.320237,69.859741,1,NA,1
2009,2,13,34.1167788,71.1665154,0,0,0
2009,2,15,32.998617,70.067081,1,0,0
2009,2,16,32.974638,70.14558,1,0,0
2009,2,16,32.320237,69.859741,0,0,0
2009,2,18,32.301964,69.590665,0,0,0
2009,2,19,34.574856,71.276081,1,0,0
2009,2,19,34.856902,71.429936,0,0,0
2009,2,19,32.687926,69.832993,1,0,0
2009,2,22,33.695975,70.336069,0,0,0
2009,2,23,34.856902,71.429936,0,0,0
2009,2,23,33.694214,71.496152,0,0,0
2009,3,3,33.694214,71.496152,0,0,0
2009,3,4,34.856902,71.429936,0,0,0
2009,3,6,32.974638,70.14558,2,0,0
2009,3,6,32.974638,70.14558,1,0,0
2009,3,6,34.856902,71.429936,0,0,0
2009,3,6,32.974638,70.14558,1,0,0
2009,3,9,32.304722,69.570278,3,0,0
2009,3,9,32.301964,69.590665,2,0,0
2009,3,9,33.694214,71.496152,1,0,0
2009,3,10,34.856902,71.429936,3,0,0
2009,3,26,32.330271,70.118577,12,0,1
2009,3,31,34.565494,71.477429,0,0,0
2009,4,3,32.301964,69.590665,0,0,0
2009,4,7,34.856902,71.429936,0,0,0
2009,4,10,32.974638,70.14558,2,0,0
2009,4,10,32.974638,70.14558,1,0,0
2009,4,16,33.896729,70.099832,0,0,0
2009,4,19,33.697271,71.144852,2,0,0
2009,4,20,32.969967,70.276797,1,0,0
2009,4,20,34.856902,71.429936,0,0,0
2009,4,26,32.667476,69.859741,0,0,0
2009,4,26,32.906013,69.748012,6,0,0
2009,4,27,32.998617,70.067081,1,0,0
2009,4,28,34.856902,71.429936,2,0,0
2009,5,2,33.694214,71.496152,0,0,0
2009,5,3,32.998617,70.067081,1,0,0
2009,5,7,33.694214,71.496152,0,0,0
2009,5,8,33.694214,71.496152,4,0,0
2009,5,10,34.1167788,71.1665154,0,0,0
2009,5,10,34.1167788,71.1665154,0,0,0
2009,5,10,34.1167788,71.1665154,0,0,0
2009,5,11,34.1167788,71.1665154,0,0,0
2009,5,11,34.1167788,71.1665154,0,0,0
2009,5,11,34.1167788,71.1665154,0,0,0
2009,5,11,34.1167788,71.1665154,0,0,0
2009,5,11,33.908578,71.070055,0,0,0
2009,5,12,34.02097,71.267703,0,0,0
2009,5,14,33.694214,71.496152,0,0,0
2009,5,14,34.574856,71.276081,0,0,0
2009,5,15,34.565494,71.477429,0,0,0
2009,6,1,32.320237,69.859741,0,0,0
2009,6,1,34.574856,71.276081,0,0,0
2009,6,1,34.565494,71.477429,0,0,0
2009,6,1,34.565494,71.477429,0,0,0
2009,6,3,32.301964,69.590665,0,0,0
2009,6,7,33.694214,71.496152,0,0,0
2009,6,8,34.796395,71.472674,0,0,0
2009,6,17,34.565494,71.477429,0,0,0
2009,6,17,34.565494,71.477429,0,0,0
2009,6,19,34.856902,71.429936,0,0,0
2009,6,19,34.856902,71.429936,0,0,0
2009,6,20,34.1167788,71.1665154,0,0,0
2009,6,22,34.735879,71.525833,0,0,0
2009,6,24,34.735879,71.525833,2,0,0
2009,6,25,32.320237,69.859741,0,0,0
2009,6,26,34.1167788,71.1665154,0,0,0
2009,6,30,33.908578,71.070055,1,0,0
2009,7,1,33.908578,71.070055,4,0,0
2009,7,1,33.908578,71.070055,1,0,0
2009,7,1,34.735879,71.525833,0,0,0
2009,7,6,33.742929,70.965004,1,0,0
2009,7,11,32.320237,69.859741,0,0,0
2009,7,15,32.332475,70.118391,2,0,0
2009,7,16,34.856902,71.429936,1,0,0
2009,7,16,33.0073,70.0652,3,0,0
2009,7,17,34.1167788,71.1665154,0,0,0
2009,7,25,32.320237,69.859741,1,0,0
2009,7,26,34.565494,71.477429,2,0,0
2009,7,29,34.565494,71.477429,3,0,1
2009,8,8,34.735879,71.525833,1,0,0
2009,8,8,34.565494,71.477429,2,0,0
2009,8,9,34.565494,71.477429,17,0,11
2009,8,11,34.574856,71.276081,1,0,0
2009,8,12,32.320237,69.859741,70,0,1
